书名,评分,作者,出版社,出版日期,价格,链接
追风筝的人,8.9,[美] 卡勒德·胡赛尼,上海人民出版社,2006-5,29.0,https://book.douban.com/subject/1770782/
解忧杂货店,8.5,[日] 东野圭吾,南海出版公司,2014-5,39.5,https://book.douban.com/subject/25862578/
小王子,9.0,[法] 圣埃克苏佩里,人民文学出版社,2003-8,22.0,https://book.douban.com/subject/1084336/
白夜行,9.1,[日] 东野圭吾,南海出版公司,2008-9,29.8,https://book.douban.com/subject/3259440/
活着,9.4,余华,作家出版社,2012-8-1,20.0,https://book.douban.com/subject/4913064/
嫌疑人X的献身,8.9,[日] 东野圭吾,南海出版公司,2008-9,28.0,https://book.douban.com/subject/3211779/
三体,8.8,刘慈欣,重庆出版社,2008-1,23.0,https://book.douban.com/subject/2567698/
围城,8.9,钱锺书,人民文学出版社,1991-2,19.0,https://book.douban.com/subject/1008145/
挪威的森林,8.0,[日] 村上春树,上海译文出版社,2001-2,18.8,https://book.douban.com/subject/1046265/
红楼梦,9.6,[清] 曹雪芹 著,人民文学出版社,1996-12,59.7,https://book.douban.com/subject/1007305/
百年孤独,9.2,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2011-6,39.5,https://book.douban.com/subject/6082808/
看见,8.8,柴静,广西师范大学出版社,2013-1-1,39.8,https://book.douban.com/subject/20427187/
平凡的世界（全三部）,9.0,路遥,人民文学出版社,2005-1,64.0,https://book.douban.com/subject/1200840/
三体Ⅱ,9.3,刘慈欣,重庆出版社,2008-5,32.0,https://book.douban.com/subject/3066477/
三体Ⅲ,9.2,刘慈欣,重庆出版社,2010-11,38.0,https://book.douban.com/subject/5363767/
我们仨,8.7,杨绛,生活·读书·新知三联书店,2003-7,18.8,https://book.douban.com/subject/1023045/
天才在左 疯子在右,8.1,高铭,武汉大学出版社,2010-2,29.8,https://book.douban.com/subject/4242172/
达·芬奇密码,8.2,[美] 丹·布朗,上海人民出版社,2004-2,28.0,https://book.douban.com/subject/1040771/
不能承受的生命之轻,8.5,[捷克] 米兰·昆德拉,上海译文出版社,2003-7,23.0,https://book.douban.com/subject/1017143/
撒哈拉的故事,9.0,三毛,皇冠出版社,1976,36.8,https://book.douban.com/subject/1361264/
明朝那些事儿（壹）,8.7,当年明月,中国友谊出版公司,2006-9,24.8,https://book.douban.com/subject/1873231/
许三观卖血记,8.8,余华,南海出版公司,1998-9,16.8,https://book.douban.com/subject/1029791/
哈利·波特与魔法石,9.1,[英] J. K. 罗琳,人民文学出版社,2000-9,19.5,https://book.douban.com/subject/1041007/
恶意,8.4,[日] 东野圭吾,南海出版公司,2009-6,18.0,https://book.douban.com/subject/3646172/
傲慢与偏见,8.8,[英] 奥斯丁,人民文学出版社,1993-7,13.0,https://book.douban.com/subject/1083428/
简爱（英文全本）,8.5,[英] 夏洛蒂·勃朗特,世界图书出版公司,2003-11,18.0,https://book.douban.com/subject/1141406/
目送,8.6,龙应台,生活·读书·新知三联书店,2009-10,39.0,https://book.douban.com/subject/3995526/
人间失格,8.3,太宰治,吉林出版集团有限责任公司,2009-9,16.0,https://book.douban.com/subject/4011670/
边城,8.6,沈从文,北岳文艺出版社,2002-4,12.0,https://book.douban.com/subject/1057244/
霍乱时期的爱情,9.0,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012-9-1,39.5,https://book.douban.com/subject/10594787/
飘,9.3,[美国] 玛格丽特·米切尔,译林出版社,2000-9,40.0,https://book.douban.com/subject/1068920/
盗墓笔记,8.3,南派三叔,中国友谊出版公司,2007-1,26.8,https://book.douban.com/subject/1948901/
窗边的小豆豆,8.7,[日] 黑柳彻子 著,南海出版公司,2003-1,20.0,https://book.douban.com/subject/1007914/
房思琪的初恋乐园,9.2,林奕含,北京联合出版公司,2018-1,45.0,https://book.douban.com/subject/27614904/
倾城之恋,8.5,花城出版社,花城出版社,1997-3-1,11.0,https://book.douban.com/subject/1090043/
老人与海,8.4,海明威,上海译文出版社,1999-10,8.2,https://book.douban.com/subject/1064275/
鲁滨逊漂流记,8.1,[英] 笛福,广西民族出版社,2002-1,9.2,https://book.douban.com/subject/1016003/
哈利·波特与阿兹卡班的囚徒,9.0,[英] J. K. 罗琳,人民文学出版社,2000-9,26.5,https://book.douban.com/subject/1071241/
狼图腾,8.2,姜戎,长江文艺出版社,2004-4,32.0,https://book.douban.com/subject/1022060/
万历十五年,8.9,[美] 黄仁宇,生活·读书·新知三联书店,1997-5,18.0,https://book.douban.com/subject/1041482/
